,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Price category
0,221900.0,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,Low price
1,538000.0,3,2,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,Middle price
2,180000.0,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,Low price
3,604000.0,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,Middle price
4,510000.0,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,Middle price
5,1225000.0,4,4,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,High price
6,257500.0,3,2,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,Low price
7,291850.0,3,1,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,Low price
8,229500.0,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,Low price
9,323000.0,3,2,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,Low price
10,662500.0,3,2,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,Middle price
11,468000.0,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,High price
12,310000.0,3,1,1430,19901,1,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,Low price
13,400000.0,3,1,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,High price
14,530000.0,5,2,1810,4850,1,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,Middle price
15,650000.0,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,Middle price
16,395000.0,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,Low price
17,485000.0,4,1,1600,4300,1,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,High price
18,189000.0,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,Low price
19,230000.0,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,Low price
20,385000.0,4,1,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,Low price
21,2000000.0,3,2,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,High price
22,285000.0,5,2,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,Low price
23,252700.0,2,1,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,Low price
24,329000.0,3,2,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,Low price
25,233000.0,3,2,1710,4697,1,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,Low price
26,937000.0,3,1,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,High price
27,667000.0,3,1,1400,1581,1,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,Middle price
28,438000.0,3,1,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,High price
29,719000.0,4,2,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,Middle price
30,580500.0,3,2,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,Middle price
31,280000.0,2,1,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,Low price
32,687500.0,4,1,2330,5000,1,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,Middle price
33,535000.0,3,1,1090,3000,1,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,Middle price
34,322500.0,4,2,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,Low price
35,696000.0,3,2,2300,3060,1,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,Middle price
36,550000.0,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,Middle price
37,640000.0,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,Middle price
38,240000.0,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,Low price
39,605000.0,4,2,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,Middle price
40,625000.0,4,2,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,Middle price
41,775000.0,4,2,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,Middle price
42,861990.0,5,2,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,High price
43,685000.0,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,Middle price
44,309000.0,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,Low price
45,488000.0,3,2,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,High price
46,210490.0,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,Low price
47,785000.0,4,2,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,Middle price
48,450000.0,3,1,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,High price
49,1350000.0,3,2,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,High price
50,228000.0,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,Low price
51,345000.0,5,2,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,Low price
52,600000.0,3,1,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,Middle price
53,585000.0,2,1,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,Middle price
54,920000.0,5,2,2730,6000,1,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,High price
55,885000.0,4,2,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,High price
56,292500.0,4,2,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,Low price
57,301000.0,3,2,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,Low price
58,951000.0,5,3,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,High price
59,430000.0,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,High price
